都道府県,市区町村,事業名,採択額_千円,区分,発注の見込み
岩手県,釜石市,かまいし歴史文化プロモーションを通じた関係人口創出事業,6810,ソフト（当社の領域）,未確認（交付決定のみ。委託の公募が出るかは各自治体の調達ページで確認する）
兵庫県,丹波市,大阪・関西万博とその先を見据えた誘客促進事業,6709,ソフト（当社の領域）,未確認（交付決定のみ。委託の公募が出るかは各自治体の調達ページで確認する）
石川県,加賀市,観光資源のリファインと受入施設整備によるインバウンド誘客拡大事業,6500,ハード寄り（施設整備。当社の領域外の可能性が高い）,未確認（交付決定のみ。委託の公募が出るかは各自治体の調達ページで確認する）
高知県,四万十町,四万十町ネット販売利活用特産品情報発信事業,6425,ソフト（当社の領域）,未確認（交付決定のみ。委託の公募が出るかは各自治体の調達ページで確認する）
青森県,深浦町,世界遺産とマグロのまち「ふかうら」で行う子育て家族の誘致事業,6039,ソフト（当社の領域）,未確認（交付決定のみ。委託の公募が出るかは各自治体の調達ページで確認する）
長野県,東御市,東御市シティプロモーション強化事業,6000,ソフト（当社の領域）,未確認（交付決定のみ。委託の公募が出るかは各自治体の調達ページで確認する）
茨城県,守谷市,インナープロモーション推進プロジェクト,5713,ソフト（当社の領域）,未確認（交付決定のみ。委託の公募が出るかは各自治体の調達ページで確認する）
岐阜県,海津市,海津市野外音楽フェスやPR動画等による人を呼び込むシティプロモーションプロジェクト,5550,ソフト（当社の領域）,未確認（交付決定のみ。委託の公募が出るかは各自治体の調達ページで確認する）
長野県,安曇野市,『安曇野で働く』を通じた経営支援、ブランド構築、起業・就業支援事業,5539,ソフト（当社の領域）,未確認（交付決定のみ。委託の公募が出るかは各自治体の調達ページで確認する）
秋田県,仙北市,人と地域を創生する観光誘客事業,5524,ソフト（当社の領域）,未確認（交付決定のみ。委託の公募が出るかは各自治体の調達ページで確認する）
兵庫県,たつの市,持続可能な観光地域づくりと観光誘客事業の展開,5314,ソフト（当社の領域）,未確認（交付決定のみ。委託の公募が出るかは各自治体の調達ページで確認する）
長野県,小諸市,地域の就業率アップを目指した情報発信力向上事業,5115,ソフト（当社の領域）,未確認（交付決定のみ。委託の公募が出るかは各自治体の調達ページで確認する）
静岡県,三島市,地域資源を活用したシティプロモーション推進事業,5000,ソフト（当社の領域）,未確認（交付決定のみ。委託の公募が出るかは各自治体の調達ページで確認する）
福岡県,行橋市,ゆくはしシティプロモーション事業,5000,ソフト（当社の領域）,未確認（交付決定のみ。委託の公募が出るかは各自治体の調達ページで確認する）
岡山県,岡山市,「新たな倭国論～吉備と大和の二頭政治～」情報発信事業,4950,ソフト（当社の領域）,未確認（交付決定のみ。委託の公募が出るかは各自治体の調達ページで確認する）
茨城県,牛久市,地域資源を活用したシティプロモーションによる関係人口・交流人口の獲得事業,4847,ソフト（当社の領域）,未確認（交付決定のみ。委託の公募が出るかは各自治体の調達ページで確認する）
福井県,小浜市,御食国食文化観光誘客事業,4750,ソフト（当社の領域）,未確認（交付決定のみ。委託の公募が出るかは各自治体の調達ページで確認する）
兵庫県,三木市,大阪・関西万博を契機とした、金物インバウンド戦略,4500,ソフト（当社の領域）,未確認（交付決定のみ。委託の公募が出るかは各自治体の調達ページで確認する）
千葉県,旭市,地域資源を活用したシティプロモーション推進事業,4400,ソフト（当社の領域）,未確認（交付決定のみ。委託の公募が出るかは各自治体の調達ページで確認する）
富山県,魚津市,企業誘致推進事業,4380,ソフト（当社の領域）,未確認（交付決定のみ。委託の公募が出るかは各自治体の調達ページで確認する）
富山県,富山市,ニューヨーク・タイムズ「2025年に行くべき52か所」選定に伴うインバウンド対策事業,4330,ソフト（当社の領域）,未確認（交付決定のみ。委託の公募が出るかは各自治体の調達ページで確認する）
北海道,紋別市,保育園留学を軸とした紋別市子育て家族誘致と地域ブランディング事業,4125,ソフト（当社の領域）,未確認（交付決定のみ。委託の公募が出るかは各自治体の調達ページで確認する）
福岡県,八女市,地域資源を活用した持続可能な八女市ブランド構築事業,4116,ソフト（当社の領域）,未確認（交付決定のみ。委託の公募が出るかは各自治体の調達ページで確認する）
熊本県,荒尾市,自治体オリジナルメディアにおける地域ブランド創出事業,3875,ソフト（当社の領域）,未確認（交付決定のみ。委託の公募が出るかは各自治体の調達ページで確認する）
三重県,志摩市,マリンテック誘致・集積によるイノベーション創出事業,3770,ソフト（当社の領域）,未確認（交付決定のみ。委託の公募が出るかは各自治体の調達ページで確認する）
奈良県,橿原市,起業者増加と中小企業者販路拡大支援事業,3700,ソフト（当社の領域）,未確認（交付決定のみ。委託の公募が出るかは各自治体の調達ページで確認する）
熊本県,,世界のマーケットへチャレンジ！新たな自然共生型産業創出・販路開拓プロジェクト,3500,ソフト（当社の領域）,未確認（交付決定のみ。委託の公募が出るかは各自治体の調達ページで確認する）
岐阜県,多治見市,戦略的移住・定住促進施策を軸としたシティプロモーション,3450,ソフト（当社の領域）,未確認（交付決定のみ。委託の公募が出るかは各自治体の調達ページで確認する）
和歌山県,かつらぎ町,かつらぎ町ブランド戦略推進事業,3300,ソフト（当社の領域）,未確認（交付決定のみ。委託の公募が出るかは各自治体の調達ページで確認する）
青森県,東北町,合宿所設備環境再生・合宿誘致強化事業,3000,ソフト（当社の領域）,未確認（交付決定のみ。委託の公募が出るかは各自治体の調達ページで確認する）
山梨県,南アルプス市,清水港に寄港する海外客船に向けた観光誘客推進事業,2783,ソフト（当社の領域）,未確認（交付決定のみ。委託の公募が出るかは各自治体の調達ページで確認する）
福岡県,香春町,子育て世代の移住定住に向けた香春町シティプロモーション事業,2772,ソフト（当社の領域）,未確認（交付決定のみ。委託の公募が出るかは各自治体の調達ページで確認する）
福岡県,大野城市,大野城市シティプロモーションアクションプランに基づくシティプロモーション事業,2608,ソフト（当社の領域）,未確認（交付決定のみ。委託の公募が出るかは各自治体の調達ページで確認する）
大阪府,八尾市,万博体験を活かした八尾のプロモーション展開事業,2601,ソフト（当社の領域）,未確認（交付決定のみ。委託の公募が出るかは各自治体の調達ページで確認する）
和歌山県,田辺市,（仮称）首都圏シティプロモーション事業,2500,ソフト（当社の領域）,未確認（交付決定のみ。委託の公募が出るかは各自治体の調達ページで確認する）
静岡県,富士市,工場夜景を活用した観光プロモーション及び誘客事業,2493,ソフト（当社の領域）,未確認（交付決定のみ。委託の公募が出るかは各自治体の調達ページで確認する）
長野県,岡谷市,移住定住の促進に向けたシティプロモーション事業,2189,ソフト（当社の領域）,未確認（交付決定のみ。委託の公募が出るかは各自治体の調達ページで確認する）
山形県,鶴岡市,新道の駅を拠点とした観光振興と特産品開発・販路拡大支援事業,1918,ハード寄り（施設整備。当社の領域外の可能性が高い）,未確認（交付決定のみ。委託の公募が出るかは各自治体の調達ページで確認する）
北海道,中富良野町,子どもたちが創るタウンブランド事業,1730,ソフト（当社の領域）,未確認（交付決定のみ。委託の公募が出るかは各自治体の調達ページで確認する）
和歌山県,かつらぎ町,かつらぎ町活性化・プロモーション事業,1585,ソフト（当社の領域）,未確認（交付決定のみ。委託の公募が出るかは各自治体の調達ページで確認する）
鹿児島県,,県産材の安定供給と販路拡大による林業成長産業化プロジェクト,1560,ソフト（当社の領域）,未確認（交付決定のみ。委託の公募が出るかは各自治体の調達ページで確認する）
奈良県,田原本町,田原本町農産物ブランド力強化事業,1500,ソフト（当社の領域）,未確認（交付決定のみ。委託の公募が出るかは各自治体の調達ページで確認する）
神奈川県,大井町,ジビエ販路拡大事業,1280,ソフト（当社の領域）,未確認（交付決定のみ。委託の公募が出るかは各自治体の調達ページで確認する）
山梨県,甲州市,甲州市ワインプロモーション事業,1100,ソフト（当社の領域）,未確認（交付決定のみ。委託の公募が出るかは各自治体の調達ページで確認する）
岡山県,美咲町,デジタルマーケティングを活用した関係人口の創出・深化事業,1000,ソフト（当社の領域）,未確認（交付決定のみ。委託の公募が出るかは各自治体の調達ページで確認する）
三重県,紀宝町,若者の雇用に向けた企業の情報発信事業,600,ソフト（当社の領域）,未確認（交付決定のみ。委託の公募が出るかは各自治体の調達ページで確認する）
和歌山県,田辺市,吊橋を活用した誘客促進及び全国木橋サミット誘致事業,500,ソフト（当社の領域）,未確認（交付決定のみ。委託の公募が出るかは各自治体の調達ページで確認する）
山梨県,,牛石地区企業誘致事業,375,ソフト（当社の領域）,未確認（交付決定のみ。委託の公募が出るかは各自治体の調達ページで確認する）
山形県,朝日町,「新宅今井家」を活用した来訪者及びインバウンド推進,100,ソフト（当社の領域）,未確認（交付決定のみ。委託の公募が出るかは各自治体の調達ページで確認する）
