案件名,発注機関,関連度,調達案件番号,過年度実績件数,直近落札日,直近落札金額,直近落札者,根拠,URL
協調型自動運転の実現に向けたV2X通信技術の国際標準化のための国際機関等との連絡調整事務,総務省,1,0000000000000570889,3,2026-03-10,32700000,一般社団法人電波産業会,落札実績オープンデータ（同一事業と判定）,https://www.nyusatsu.geps.go.jp/OMP/Accepter/index.jsp?PRM=0000000000000570889
令和８年度「WRC-27に関する航空無線通信の国際協調のための国際機関等との連絡調整事務」の請負,総務省,1,0000000000000571197,3,2026-03-13,35000000,株式会社三菱総合研究所,落札実績オープンデータ（同一事業と判定）,https://www.nyusatsu.geps.go.jp/OMP/Accepter/index.jsp?PRM=0000000000000571197
ワイヤレス分野全般に関する推進方策及び次世代モバイルネットワークの高度化に向けた国際連携の推進戦略に関する調査検討,総務省,1,0000000000000572442,1,2026-03-24,72000000,株式会社三菱総合研究所,落札実績オープンデータ（同一事業と判定）,https://www.nyusatsu.geps.go.jp/OMP/Accepter/index.jsp?PRM=0000000000000572442
令和８年度「ワイヤレス電力伝送システムによる無線通信の保護のための国際機関等との連絡調整事務」の請負,総務省,1,0000000000000572695,3,2026-03-16,30000000,ワシントンコアＬ．Ｌ．Ｃ．,落札実績オープンデータ（同一事業と判定）,https://www.nyusatsu.geps.go.jp/OMP/Accepter/index.jsp?PRM=0000000000000572695
令和８年度「電波利用環境維持のための高周波利用設備等に関する国際機関等との連絡調整 事務」の請負,総務省,1,0000000000000572802,2,2026-03-12,26800000,ＮＴＴアドバンステクノロジ株式会社,落札実績オープンデータ（同一事業と判定）,https://www.nyusatsu.geps.go.jp/OMP/Accepter/index.jsp?PRM=0000000000000572802
令和８年度「電波利用環境維持のための高周波利用設備等に関する国際機関等との連絡調整 事務」の請負,総務省,1,0000000000000572899,2,2026-03-12,26800000,ＮＴＴアドバンステクノロジ株式会社,落札実績オープンデータ（同一事業と判定）,https://www.nyusatsu.geps.go.jp/OMP/Accepter/index.jsp?PRM=0000000000000572899
WRC-27に向けた移動通信システムの国際協調に係る国際機関等との連絡調整事務の請負,総務省,1,0000000000000573477,2,2026-03-19,52900000,一般社団法人電波産業会,落札実績オープンデータ（同一事業と判定）,https://www.nyusatsu.geps.go.jp/OMP/Accepter/index.jsp?PRM=0000000000000573477
令和８年度「Society5.0時代における固定無線システムの大容量化のための国際機関等との連絡調整事務」の請負,総務省,1,0000000000000579109,1,2025-03-06,33333333,ワシントンコアＬ．Ｌ．Ｃ．,落札実績オープンデータ（同一事業と判定）,https://www.nyusatsu.geps.go.jp/OMP/Accepter/index.jsp?PRM=0000000000000579109
07-0049-0356 令和８年度通信分野における情報セキュリティに関するISAC国際連携に係る調査の請負,総務省,1,0000000000000580395,3,2026-03-27,29865220,株式会社プライムインターナショナル,落札実績オープンデータ（同一事業と判定）,https://www.nyusatsu.geps.go.jp/OMP/Accepter/index.jsp?PRM=0000000000000580395
08-0042-0054 地上デジタルテレビジョン放送高度化技術や新しい放送関連技術等の国際標準化のための国際機関等との連絡調整事務の請負,総務省,1,0000000000000582824,1,2025-03-21,24280000,株式会社オーエムシー,落札実績オープンデータ（同一事業と判定）,https://www.nyusatsu.geps.go.jp/OMP/Accepter/index.jsp?PRM=0000000000000582824
08-0049-0076 Beyond 5Gなどの移動通信システムに関する国際標準化活動の最新動向の把握及びその状況を踏まえた国内企業等の標準化戦略立案のための調査・分析の請負,総務省,1,0000000000000582979,1,2026-03-25,25000000,株式会社三菱総合研究所,落札実績オープンデータ（同一事業と判定）,https://www.nyusatsu.geps.go.jp/OMP/Accepter/index.jsp?PRM=0000000000000582979
08-0049-0098 日米国際間接続ネットワーク分野におけるAPN技術の普及に向けた調査研究の請負,総務省,1,0000000000000597383,1,2026-07-03,270000000,富士通株式会社,落札実績オープンデータ（同一事業と判定）,https://www.nyusatsu.geps.go.jp/OMP/Accepter/index.jsp?PRM=0000000000000597383
情報通信分野の国際標準化機関における主要ポストの維持・獲得のための専門人材育成並びに標準化人材の民間企業等の次世代人材及び中小企業・スタートアップ企業・大学への裾野拡大に資する調査,総務省,1,0000000000000597467,1,2026-05-29,124000000,株式会社野村総合研究所,落札実績オープンデータ（同一事業と判定）,https://www.nyusatsu.geps.go.jp/OMP/Accepter/index.jsp?PRM=0000000000000597467
日台国際間接続ネットワーク分野におけるAPN技術の普及に向けた調査研究の請負,総務省,1,0000000000000600533,1,2026-07-06,90500000,富士通株式会社,落札実績オープンデータ（同一事業と判定）,https://www.nyusatsu.geps.go.jp/OMP/Accepter/index.jsp?PRM=0000000000000600533
サイバーセキュリティ能力構築支援に係る 情報通信産業の国際展開支援に関する調査,総務省,1,0000000000000603701,2,2026-06-29,55000000,ＰｗＣコンサルティング合同会社,落札実績オープンデータ（同一事業と判定）,https://www.nyusatsu.geps.go.jp/OMP/Accepter/index.jsp?PRM=0000000000000603701
令和８年度国立京都国際会館宴会場さくら調光システム及び照明設備更新工事,財務省,1,0000000000000604177,1,2026-06-24,68000000,東芝ライテック株式会社,落札実績オープンデータ（同一事業と判定）,https://www.nyusatsu.geps.go.jp/OMP/Accepter/index.jsp?PRM=0000000000000604177
関西国際空港第１ターミナルビル税関旅具検査場（制限エリア） 電子申告ゲート移設・更新に伴う付帯工事,財務省,1,0000000000000604359,1,2026-06-29,19950000,ＦＡエンジニア株式会社,落札実績オープンデータ（同一事業と判定）,https://www.nyusatsu.geps.go.jp/OMP/Accepter/index.jsp?PRM=0000000000000604359
08-0049-0124 日米国際間接続ネットワーク分野におけるAPN技術の普及に向けた調査研究の請負,総務省,1,0000000000000604362,1,2026-07-03,270000000,富士通株式会社,落札実績オープンデータ（同一事業と判定）,https://www.nyusatsu.geps.go.jp/OMP/Accepter/index.jsp?PRM=0000000000000604362
08-0049-0135 令和８年度国際データ取引市場創出事業の請負,総務省,1,0000000000000605791,3,2026-07-22,60000000,一般社団法人データ社会推進協議会,落札実績オープンデータ（同一事業と判定）,https://www.nyusatsu.geps.go.jp/OMP/Accepter/index.jsp?PRM=0000000000000605791
令和８年度「同報通信方式を用いた無線LAN技術のユースケース創出と認証プログラムの国際標準化事業」の請負,総務省,1,0000000000000606134,1,2026-07-14,59500000,株式会社三菱総合研究所,落札実績オープンデータ（同一事業と判定）,https://www.nyusatsu.geps.go.jp/OMP/Accepter/index.jsp?PRM=0000000000000606134
情報通信・デジタル分野における国際標準化（ルール形成）活動の持続的推進を支える人材基盤の強化に資する、標準化人材の役割・業務・知識・スキル及び教育プログラム等の整備と実効的運用に～,総務省,1,0000000000000609861,0,,,,過去実績なし。仕様書からの積算が必要,https://www.nyusatsu.geps.go.jp/OMP/Accepter/index.jsp?PRM=0000000000000609861
国際情勢の変化を踏まえた今後の日本と北米及び欧州のデジタル連携強化に係る調査研究,総務省,1,0000000000000610811,1,2025-06-13,18059000,有限責任あずさ監査法人,落札実績オープンデータ（同一事業と判定）,https://www.nyusatsu.geps.go.jp/OMP/Accepter/index.jsp?PRM=0000000000000610811
大阪国際空港幹線排水路補修工事,国土交通省,1,0000000000000612229,0,,,,過去実績なし。仕様書からの積算が必要,https://www.nyusatsu.geps.go.jp/OMP/Accepter/index.jsp?PRM=0000000000000612229
08-0049-0193 国際機関、外国関係機関及び外国企業等との調整、技術実証等に資する電波法令の英語翻訳及び和英対訳用語集の調査の請負（令和８年度）,総務省,1,0000000000000614425,0,,,,過去実績なし。仕様書からの積算が必要,https://www.nyusatsu.geps.go.jp/OMP/Accepter/index.jsp?PRM=0000000000000614425
大阪国際空港第2TX局舎空気調和設備工事,国土交通省,1,0000000000000614996,0,,,,過去実績なし。仕様書からの積算が必要,https://www.nyusatsu.geps.go.jp/OMP/Accepter/index.jsp?PRM=0000000000000614996
コンテンツ分野における国際的な顕彰制度のあり方に関する調査事業,内閣府,1,0000000000000615736,0,,,,過去実績なし。仕様書からの積算が必要,https://www.nyusatsu.geps.go.jp/OMP/Accepter/index.jsp?PRM=0000000000000615736
国際連携及びAI活用によるサイバー脅威インテリジェンス収集・分析基盤の高度化に向けた調査研究,総務省,1,0000000000000615999,0,,,,過去実績なし。仕様書からの積算が必要,https://www.nyusatsu.geps.go.jp/OMP/Accepter/index.jsp?PRM=0000000000000615999
関西国際空港第2TAPS-EQ室空気調和設備工事,国土交通省,1,0000000000000616704,0,,,,過去実績なし。仕様書からの積算が必要,https://www.nyusatsu.geps.go.jp/OMP/Accepter/index.jsp?PRM=0000000000000616704
令和8年度 東京国際空港擁壁定期点検調査（東京航空局 東京空港事務所）,国土交通省,1,0000000000000616928,0,,,,過去実績なし。仕様書からの積算が必要,https://www.nyusatsu.geps.go.jp/OMP/Accepter/index.jsp?PRM=0000000000000616928
令和８年度 東京国際空港地下道定期点検調査（東京航空局 東京空港事務所）,国土交通省,1,0000000000000616997,0,,,,過去実績なし。仕様書からの積算が必要,https://www.nyusatsu.geps.go.jp/OMP/Accepter/index.jsp?PRM=0000000000000616997
令和８年度 東京国際空港環境配慮状況調査（東京航空局 東京空港事務所）,国土交通省,1,0000000000000617051,2,2025-06-30,3480000,一般財団法人九州環境管理協会,落札実績オープンデータ（同一事業と判定）,https://www.nyusatsu.geps.go.jp/OMP/Accepter/index.jsp?PRM=0000000000000617051
08-0042-0100 情報通信分野における国際標準化活動促進関連活動に関する事務請負,総務省,1,0000000000000617946,0,,,,過去実績なし。仕様書からの積算が必要,https://www.nyusatsu.geps.go.jp/OMP/Accepter/index.jsp?PRM=0000000000000617946
シンポジウム「国際シンポジウム２０２７（仮称）」における企画支援業務,財務省,1,0000000000000618170,0,,,,過去実績なし。仕様書からの積算が必要,https://www.nyusatsu.geps.go.jp/OMP/Accepter/index.jsp?PRM=0000000000000618170
令和８年度国家戦略特別区域及び国際戦略総合特別区域における税制上の支援措置の課題、ニーズ及び政策効果等の調査,内閣府,1,0000000000000618423,0,,,,過去実績なし。仕様書からの積算が必要,https://www.nyusatsu.geps.go.jp/OMP/Accepter/index.jsp?PRM=0000000000000618423
【資エ庁】令和８年度カーボンニュートラル実現シナリオ構築等に向けた国際連携事業（日トルコ・エネルギーフォーラム開催及び関連会合開催支援・調査業務）,経済産業省,1,0000000000000618605,11,2026-08-12,50020173,株式会社みずほ銀行,落札実績オープンデータ（同一事業と判定）,https://www.nyusatsu.geps.go.jp/OMP/Accepter/index.jsp?PRM=0000000000000618605
令和８年度国際連合関係者招へい接遇業務一式,外務省,1,0000000000000618626,0,,,,過去実績なし。仕様書からの積算が必要,https://www.nyusatsu.geps.go.jp/OMP/Accepter/index.jsp?PRM=0000000000000618626
【東京航空局】東京国際空港非常用機器保管庫新築工事,国土交通省,1,0000000000000618653,0,,,,過去実績なし。仕様書からの積算が必要,https://www.nyusatsu.geps.go.jp/OMP/Accepter/index.jsp?PRM=0000000000000618653
国際緊急援助活動用等画像データ,防衛省,1,0000000000000618658,0,,,,過去実績なし。仕様書からの積算が必要,https://www.nyusatsu.geps.go.jp/OMP/Accepter/index.jsp?PRM=0000000000000618658
【本省】令和８年度内外一体の経済成長戦略構築にかかる国際経済調査事業（戦略的な高度外国人材受入れに向けた市場・実態調査）,経済産業省,1,0000000000000618747,43,2026-08-05,13000000,ＰｗＣコンサルティング合同会社,落札実績オープンデータ（同一事業と判定）,https://www.nyusatsu.geps.go.jp/OMP/Accepter/index.jsp?PRM=0000000000000618747
フィジカルインターネットに係る国際動向調査,国土交通省,1,0000000000000619210,0,,,,過去実績なし。仕様書からの積算が必要,https://www.nyusatsu.geps.go.jp/OMP/Accepter/index.jsp?PRM=0000000000000619210
【東京航空局】東京国際空港公益共同溝強靭化計画検討業務,国土交通省,1,0000000000000619403,0,,,,過去実績なし。仕様書からの積算が必要,https://www.nyusatsu.geps.go.jp/OMP/Accepter/index.jsp?PRM=0000000000000619403
令和8年度短寿命気候汚染物質削減のための気候と大気浄化の国際パートナーシップ（CCAC）等の情報収集支援等業務[総合評価落札方式],環境省,1,0000000000000619455,0,,,,過去実績なし。仕様書からの積算が必要,https://www.nyusatsu.geps.go.jp/OMP/Accepter/index.jsp?PRM=0000000000000619455
【東京航空局】東京国際空港第２ターミナルビル延伸部エプロン照明灯設置その他工事,国土交通省,1,0000000000000619526,0,,,,過去実績なし。仕様書からの積算が必要,https://www.nyusatsu.geps.go.jp/OMP/Accepter/index.jsp?PRM=0000000000000619526
【本省】令和８年度国際比較プログラム（ＩＣＰ２０２６ラウンド）における購買力平価算定のための価格調査（機械設備）事業,経済産業省,1,0000000000000619625,1,2023-08-10,2500000,株式会社サーベイリサーチセンター,落札実績オープンデータ（同一事業と判定）,https://www.nyusatsu.geps.go.jp/OMP/Accepter/index.jsp?PRM=0000000000000619625
国際調査実施関連業務 一式,文部科学省,1,0000000000000619670,0,,,,過去実績なし。仕様書からの積算が必要,https://www.nyusatsu.geps.go.jp/OMP/Accepter/index.jsp?PRM=0000000000000619670
【東京航空局】成田国際空港新管制塔受配電設備製造据付,国土交通省,1,0000000000000619708,1,2024-07-04,12500000,電気技術開発株式会社,落札実績オープンデータ（同一事業と判定）,https://www.nyusatsu.geps.go.jp/OMP/Accepter/index.jsp?PRM=0000000000000619708
【東京航空局】東京国際空港第１ＡＧ更新その他工事外４件実施設計,国土交通省,1,0000000000000619758,0,,,,過去実績なし。仕様書からの積算が必要,https://www.nyusatsu.geps.go.jp/OMP/Accepter/index.jsp?PRM=0000000000000619758
【東京航空局】成田国際空港新管制塔設備設置工事外２件実施設計,国土交通省,1,0000000000000619759,0,,,,過去実績なし。仕様書からの積算が必要,https://www.nyusatsu.geps.go.jp/OMP/Accepter/index.jsp?PRM=0000000000000619759
【東京航空局】成田国際空港第１ＡＧ更新工事外２件実施設計,国土交通省,1,0000000000000619760,0,,,,過去実績なし。仕様書からの積算が必要,https://www.nyusatsu.geps.go.jp/OMP/Accepter/index.jsp?PRM=0000000000000619760
港湾分野における国際標準化対応方針検討業務,国土交通省,1,0000000000000619774,0,,,,過去実績なし。仕様書からの積算が必要,https://www.nyusatsu.geps.go.jp/OMP/Accepter/index.jsp?PRM=0000000000000619774
08-0049-0233 インターネットガバナンスに関する国際的な議論に係る調査等の請負,総務省,1,0000000000000620147,0,,,,過去実績なし。仕様書からの積算が必要,https://www.nyusatsu.geps.go.jp/OMP/Accepter/index.jsp?PRM=0000000000000620147
令和８年度 自動運航船のための補償条約に係る国際交渉及び国内法令整備のための調査,国土交通省,1,0000000000000620240,2,2025-08-20,4231000,公益財団法人日本海事センター,落札実績オープンデータ（同一事業と判定）,https://www.nyusatsu.geps.go.jp/OMP/Accepter/index.jsp?PRM=0000000000000620240
【東京航空局】東京国際空港Ａ／Ｇ更新その他工事,国土交通省,1,0000000000000620343,0,,,,過去実績なし。仕様書からの積算が必要,https://www.nyusatsu.geps.go.jp/OMP/Accepter/index.jsp?PRM=0000000000000620343
大阪国際空港第2TX局舎空気調和設備工事,国土交通省,1,0000000000000620633,0,,,,過去実績なし。仕様書からの積算が必要,https://www.nyusatsu.geps.go.jp/OMP/Accepter/index.jsp?PRM=0000000000000620633
関西国際空港高圧ケーブル（EM 6600V CET/F(EE) 22SQ）一式購入,国土交通省,1,0000000000000620663,0,,,,過去実績なし。仕様書からの積算が必要,https://www.nyusatsu.geps.go.jp/OMP/Accepter/index.jsp?PRM=0000000000000620663
【本省】令和８年度内外一体の経済成長戦略構築にかかる国際経済調査事業（主要国・地域における貿易措置等の国際ルール整合性に関する調査）,経済産業省,1,0000000000000620760,43,2026-08-05,13000000,ＰｗＣコンサルティング合同会社,落札実績オープンデータ（同一事業と判定）,https://www.nyusatsu.geps.go.jp/OMP/Accepter/index.jsp?PRM=0000000000000620760
【東京航空局】東京国際空港２２－ＩＬＳ更新整備基本設計外１件調査,国土交通省,1,0000000000000620788,0,,,,過去実績なし。仕様書からの積算が必要,https://www.nyusatsu.geps.go.jp/OMP/Accepter/index.jsp?PRM=0000000000000620788
関西国際空港第１ターミナルビル旅具検査場案内表示システム（一部）更新,財務省,1,0000000000000621765,0,,,,過去実績なし。仕様書からの積算が必要,https://www.nyusatsu.geps.go.jp/OMP/Accepter/index.jsp?PRM=0000000000000621765
【東京航空局】東京国際空港東西連絡地下通路非常用発電設備工事,国土交通省,1,0000000000000621982,1,2025-11-17,3000000,株式会社伸和総合設計,落札実績オープンデータ（同一事業と判定）,https://www.nyusatsu.geps.go.jp/OMP/Accepter/index.jsp?PRM=0000000000000621982
国際比較プログラム（ICP:International Comparison Program）２０２６年ラウンドに係る調査・分析等業務,国土交通省,1,0000000000000622326,0,,,,過去実績なし。仕様書からの積算が必要,https://www.nyusatsu.geps.go.jp/OMP/Accepter/index.jsp?PRM=0000000000000622326
国際海上コンテナトレーラーに係る事故防止対策推進事業【業務委託】,国土交通省,1,0000000000000623013,3,2025-08-26,3700000,社会システム株式会社,落札実績オープンデータ（同一事業と判定）,https://www.nyusatsu.geps.go.jp/OMP/Accepter/index.jsp?PRM=0000000000000623013
【本省】令和８年度重要技術総合管理事業（国際約束の履行等に係る貿易管理等におけるAI技術実証環境構築及び検証調査）,経済産業省,1,0000000000000623015,53,2026-07-08,57784237,株式会社時事通信社,落札実績オープンデータ（同一事業と判定）,https://www.nyusatsu.geps.go.jp/OMP/Accepter/index.jsp?PRM=0000000000000623015
２０２７年国際園芸博覧会安全確保事業 一式,国土交通省,1,,0,,,,過去実績なし。仕様書からの積算が必要,https://www.p-portal.go.jp/pps-web-biz/UAA01/OAA0100?OAA0115
ハローワークのブランド価値向上に資するサービス環境整備事業,厚生労働省,1,0000000000000616834,0,,,,過去実績なし。仕様書からの積算が必要,https://www.nyusatsu.geps.go.jp/OMP/Accepter/index.jsp?PRM=0000000000000616834
令和８年度再生可能エネルギーに係る地域と共生・裨益した優良事例に関する情報発信等委託業務【総合評価落札方式】,環境省,0,0000000000000623397,1,2026-01-28,15500000,合同会社デロイトトーマツ,落札実績オープンデータ（同一事業と判定）,https://www.nyusatsu.geps.go.jp/OMP/Accepter/index.jsp?PRM=0000000000000623397
令和４年度瀬戸内海国立公園誘客ツール冊子データ制作業務,環境省,0,0000000000000332713,0,,,,過去実績なし。仕様書からの積算が必要,https://www.nyusatsu.geps.go.jp/OMP/Accepter/index.jsp?PRM=0000000000000332713
ジャパン・ハウス事業のコンサルティング業務（ジャパン・ハウス事業におけるKPI実績値の成果検証についての調査・提言）,外務省,0,0000000000000619273,0,,,,過去実績なし。仕様書からの積算が必要,https://www.nyusatsu.geps.go.jp/OMP/Accepter/index.jsp?PRM=0000000000000619273
