年度,落札日,落札金額,調達案件番号,案件名,落札者,法人番号
2023年度,2023-08-08,12757709,0000000000000398992,【近畿経済産業局】令和５年度成長型中小企業等研究開発支援事業の事業化支援事業（展示会共同出展等事業）,特定非営利活動法人資源リサイクルシステムセンター,1120005008042
2024年度,2025-02-17,12662080,0000000000000499401,令和６年度補正クリエイター事業者支援事業（地域伝統芸能等を活用した行事のインバウンド向けコンテンツ展開に関する実証調査）,株式会社ＪＴＢ,8010701012863
2023年度,2023-11-13,12545000,0000000000000408808,被災地産品の魅力と安全性に係る情報発信業務,株式会社オレンジページ,9011101034118
2024年度,2024-05-30,12496000,0000000000000452768,06-0042-0068　SET EXPO 2024における日本パビリオンの展示等に係る業務の請負,株式会社メディアアトリエ,1011001037079
2024年度,2024-06-10,11553200,0000000000000455609,令和６年度商取引・サービス環境の適正化に係る事業（化粧品におけるOEM／ODM／原料製造の市場動向及び今後の海外展開に係る調査）,有限責任あずさ監査法人,3011105000996
2023年度,2023-12-12,11500000,0000000000000413591,令和５年度食産業の戦略的海外展開支援委託事業（東アフリカ地域における消費実態調査及び漁獲状況調査）,合同会社こつこつ,4010403020961
2023年度,2023-05-29,11403680,0000000000000385920,令和５年度食産業の戦略的海外展開支援事業（EU共通農業政策、英国農業政策、EU森 林デューデリジェンスの動向分析委託事業）,三菱ＵＦＪリサーチ＆コンサルティング株式会社,3010401011971
2024年度,2024-05-27,11327273,0000000000000451159,令和６年度食産業の戦略的海外展開支援事業のうち東南アジアにおけるスマート農業の実証支援委託事業,ＯＮＥ－ＶＡＬＵＥ株式会社,1010401140970
2024年度,2025-01-23,11000000,0000000000000489991,令和６年度産業経済研究委託事業（レジリエンス産業の海外展開可能性に関する調査）,デロイトトーマツコンサルティング合同会社,7010001088960
2023年度,2023-10-26,11000000,0000000000000408388,令和５年度コンテンツ海外展開促進事業（音楽産業の新たな時代に即したビジネスモデルの在り方に関する実態調査）,株式会社三菱総合研究所,6010001030403
2023年度,2023-08-25,10998485,0000000000000400846,令和５年度コンテンツ海外展開促進事業（電子書籍市場の拡大等に関する調査）,三菱ＵＦＪリサーチ＆コンサルティング株式会社,3010401011971
2025年度,2025-12-15,10938600,0000000000000552501,令和６年度補正対内直接投資促進・海外展開支援事業（戦略的誘致推進に向けたグローバル・サプライチェーン調査事業（海外からみた我が国の立地環境調査事業））,マッキンゼー・アンド・カンパニー・インコーポレイテッド・ジャパン,
2024年度,2024-11-20,10900000,0000000000000476746,令和６年度食産業の戦略的海外展開支援委託事業（主要な輸出先国における輸出重点品目にかかる物流・商流の実態把握・コスト分析調査）,デロイトトーマツコンサルティング合同会社,7010001088960
2024年度,2024-06-06,10859200,0000000000000455574,令和６年度コンテンツ海外展開促進事業（アクセシブルな電子書籍市場等の拡大等に関する調査）,アライド・ブレインズ株式会社,9010001093298
2025年度,2025-08-07,10815200,0000000000000534812,親子参加型イベントにおける食品安全に係る消費者啓発のための企画出展に関する業務,吉本興業株式会社,2120001126730
2023年度,2023-06-13,10804552,0000000000000387471,令和５年度食産業の戦略的海外展開支援事業のうち東南アジアにおけるスマート農業の実証支援委託事業,国際航業株式会社,9010001008669
2023年度,2023-04-26,10800000,0000000000000375398,令和５年度親子参加型イベントにおける食品の安全等に係る消費者啓発 のための企画出展に関する業務,吉本興業株式会社,2120001126730
2024年度,2024-11-18,10761800,0000000000000473422,新規インフラシステム海外展開戦略の策定・実行に係る検討会の企画、運営及び調査業務,有限責任あずさ監査法人,3011105000996
2024年度,2024-07-03,10750000,0000000000000457873,令和６年度食産業の戦略的海外展開支援委託事業（中東主要国の農林水産業・食品分野における日系企業の投資促進）,株式会社クロスリーチ,8010603005065
2025年度,2025-05-22,10600000,0000000000000520167,北海道における外国人ドライブ観光誘客促進支援業務,株式会社ナビタイムジャパン,7010401078314
2024年度,2024-04-08,10600000,0000000000000446903,令和６年度コンテンツ海外展開促進事業（映画産業における制作現場の適正化に向けた作品認定制度等に関するフォローアップ調査）,三菱ＵＦＪリサーチ＆コンサルティング株式会社,3010401011971
2023年度,2024-03-28,10500000,0000000000000445798,令和６年度 防災分野における海外協力及び関係技術・ノウハウ等の海外展開に関する調査業務,株式会社オリエンタルコンサルタンツ,4011001005165
2026年度,2026-08-03,10400000,0000000000000610254,本邦企業が有する空港関連技術の海外展開にかかるケニア共和国を事例とした調査,日本工営株式会社,2010001016851
2025年度,2025-10-06,10000000,0000000000000545980,令和７年度新宿御苑訪日外国人旅行者等受入環境造園設計業務,株式会社グラック,5010001042003
2023年度,2023-04-26,10000000,0000000000000374646,令和５年度食産業の戦略的海外展開支援事業（米国の農業政策・制度の動向分析委託事業）,株式会社アットグローバル,3010501025764
2023年度,2023-08-23,10000000,0000000000000400057,令和５年度コンテンツ海外展開促進事業（コンテンツ産業における先端的技術活用に関する調査）,ボストン・コンサルティング・グループ合同会社,2010001029085
2024年度,2024-06-07,9900000,0000000000000454217,令和６年度こども霞が関見学デーにおけるこども家庭庁の出展プログラム企画制作・運営等業務,株式会社電通,5010401143788
2024年度,2024-11-20,9800000,0000000000000476250,06-0042-0121令和６年度訪日外国人向けインターネット広告掲載による注意喚起の請負,株式会社日本廣告社,1011101048439
2023年度,2023-05-31,9614372,0000000000000385570,令和５年度食産業の戦略的海外展開支援委託事業（パラオ共和国）,アイ・シー・ネット株式会社,6030001000271
2025年度,2025-05-07,9082300,0000000000000522758,国内イベント出展を通じたスーパーシティ等の特区制度の普及・活用促進に向けた広報等業務,株式会社ＪＴＢ,8010701012863
2025年度,2025-10-23,9000000,0000000000000544889,我が国の医療インバウンドの推進に資する諸外国・地域における保健医療分野調査事業一式,株式会社野村総合研究所,4010001054032
2024年度,2024-11-01,9000000,0000000000000472269,我が国の医療の国際展開に資する海外における保健医療分野調査事業（アウトバウンド、インバウンド、復興支援）,株式会社野村総合研究所,4010001054032
2024年度,2024-07-24,8998958,0000000000000460435,令和６年度食産業の戦略的海外展開支援委託事業（パラオ共和国）,アイ・シー・ネット株式会社,6030001000271
2024年度,2024-06-10,8998673,0000000000000450706,令和５年度２０２５年日本国際博覧会出展事業費（ジャパンデーの意義に関する調査及び実施に係る計画策定等業務）,株式会社電通,5010401143788
2025年度,2025-05-01,8990000,0000000000000521201,令和７年度日本食・食文化の魅力発信による日本産品海外需要拡大委託事業（ブラジル連邦共和国）,株式会社ＪＴＢ,8010701012863
2024年度,2024-12-06,8800000,0000000000000478820,令和６年度東海自然歩道の魅力あるインバウンド向けストーリー検討業務[総合評価落札方式],アジア航測株式会社,6011101000700
2024年度,2024-09-04,8727000,0000000000000467793,インバウンド富裕層に対する中部地域のホンモノ体験コンテンツの需要開拓を促進するモデル構築調査,ＮＴＴドコモビジネス株式会社,7010001064648
2025年度,2025-04-04,8621420,0000000000000509570,令和７年度食産業の戦略的海外展開支援委託事業（本邦企業と連携したアフリカ農村開発モデル実証調査）,日本植物燃料株式会社,7021001045926
2024年度,2024-08-29,8422920,0000000000000466980,令和６年度災害レジリエンス関連産業の海外展開支援可能性調査事業（中小企業実態調査委託費）,八千代エンジニヤリング株式会社,2011101037696
2024年度,2024-12-09,8360000,0000000000000477399,展示会等における研究開発事業の広報用動画撮影・編集・制作作業,株式会社シネマレイ,6180001059376
2025年度,2025-10-27,8180000,0000000000000545665,メッシュ型人流（基地局）データ（訪日外国人及び日本人）の提供の請負,株式会社ドコモ・インサイトマーケティング,9010401099003
2025年度,2026-03-30,8143050,0000000000000583024,令和８年度　国内広報イベント出展を通じた特区制度の普及・活用促進に向けた広報等業務,株式会社ＪＴＢ,8010701012863
2023年度,2023-09-15,8080000,0000000000000400660,05-0049-0184電気通信・放送・郵便事業の海外展開促進に向けたリスクマネー供給に係る調査の請負,株式会社富士通総研,8010401050783
2025年度,2025-10-23,8000000,0000000000000544903,我が国の医療インバウンドの推進に資する法制度及び法的課題の国際的動向並びに制度対応に関する調査事業一式,株式会社野村総合研究所,4010001054032
2024年度,2024-07-05,7998760,0000000000000456122,令和６年度商取引・サービス環境の適正化に係る事業（医療機器産業ビジョンの具体化に向けた海外展開促進等に関する調査）,みずほリサーチ＆テクノロジーズ株式会社,9010001027685
2026年度,2026-04-24,7980000,0000000000000582608,令和８年度日本食・食文化の魅力発信による日本産品海外需要拡大委託事業（ブラジル連邦共和国）,株式会社ＪＴＢ,8010701012863
2025年度,2025-04-16,7854000,0000000000000518997,2025年日本国際博覧会における出展ブース企画運営業務委託,株式会社メディアアトリエ,1011001037079
2023年度,2023-08-23,7675500,0000000000000400112,令和５年度コンテンツ海外展開促進事業（日本発ＩＰにおけるＮＦＴ利活用促進に係る調査事業）,有限責任監査法人トーマツ,5010405001703
2025年度,2025-06-09,7500000,0000000000000526733,令和７年度食産業の戦略的海外展開支援委託事業（節水乾田直播・バイオスティミュラント資材活用等による輸出用米生産体系構築と輸出可能性調査）,三菱ＵＦＪリサーチ＆コンサルティング株式会社,3010401011971
2025年度,2025-06-17,7450000,0000000000000528226,関西パビリオンにおける関西産酒類及び『伝統的酒造り』のＰＲ運営委託業務,株式会社神戸新聞事業社,2140001012020
2026年度,2026-06-30,7261120,0000000000000605262,【近畿経済産業局】令和８年度「成長型中小企業等研究開発支援事業の事業化支援事業（展示会共同出展事業）」,株式会社友安製作所,1122002014345
2025年度,2025-06-06,7259620,0000000000000528095,【近畿経済産業局】令和７年度「成長型中小企業等研究開発支援事業の事業化支援事業（展示会共同出展事業）」,株式会社地域計画建築研究所,2130001018043
2023年度,2023-09-28,7200000,0000000000000405127,令和５年度 防災分野における海外協力及び関係技術・ノウハウ等の海外展開に関する広報業務,株式会社イベント・レンジャーズ,8010401039050
2026年度,2026-07-21,7174487,0000000000000608074,令和８年度商取引・サービス環境の適正化に係る事業（地域伝統芸能等を活用した行事（祭り）のインバウンド向けコンテンツ展開に関する普及啓発広報等事業）,株式会社ＪＴＢ,8010701012863
2025年度,2026-03-13,7127500,0000000000000576486,08-0042-0050　訪日外国人向けインターネット広告掲載による注意喚起の請負,株式会社日本廣告社,1011101048439
2023年度,2023-12-20,6751500,0000000000000416048,05-0042-0133　令和５年度訪日外国人向けインターネット広告掲載による注意喚起の請負,株式会社日本廣告社,1011101048439
2025年度,2025-04-22,6750000,0000000000000519051,大阪ヘルスケアパビリオンにおける近畿産酒類及び「伝統的酒造り」のＰＲに係る運営業務委託,株式会社神戸新聞事業社,2140001012020
2026年度,2026-07-01,6748240,0000000000000604105,令和８年度地域経済産業活性化対策調査（沖縄県産品輸出拡大の可能性調査）,株式会社サーベイリサーチセンター,6011501006529
2024年度,2024-06-07,6500000,0000000000000457546,インバウンド客への航路情報提供に関する調査等業務,株式会社ケー・シー・エス,3011101040658
2025年度,2026-01-20,6358665,0000000000000559911,外国要人訪日迎賓館行事にかかる音響機材等一式及び会場運営・設営業務委託,株式会社コングレ,9120001079690
2024年度,2024-09-02,6000000,0000000000000469266,「GI佐賀・壱岐・琉球セミナー及び輸出卸商社商談会（仮称）」の開催に係る運営業務,株式会社コンベンションリンケージ,8010001092202
2024年度,2024-12-12,6000000,0000000000000483078,令和６年度地域経済政策推進事業委託費（海外での福島県産品等広報事業）,一般社団法人東の食の会,5011005003453
2024年度,2025-01-31,5800000,0000000000000487214,06-0049-0288「ICTスタートアップリーグ」の国際的な周知及び成果の海外展開のための支援業務等の調査研究,デロイトトーマツテレワークセンター株式会社,7380001012339
2023年度,2023-08-01,5800000,0000000000000395834,令和５年度食産業の戦略的海外展開支援委託事業（バングラデシュへの貿易・投資の拡大に向けた農業・食品加工業の実態等調査）,株式会社ＮＴＴデータ経営研究所,1010001143390
2025年度,2026-03-17,5622850,0000000000000587672,令和7年度「中南米地域へのインフラ海外展開に関する官民連携プラットフォーム」第2回協議会実施支援業務,株式会社Ｄｏｓｈｉｎ　ＥＣ,4430001037069
2023年度,2023-09-15,5607000,0000000000000404082,Techno-Ocean2023出展に係る準備及び撤収役務,株式会社ディスカバリーコア,7010701022525
2024年度,2024-05-09,5592160,0000000000000445425,令和６年度食産業の戦略的海外展開支援委託事業（ベトナムにおける農産物・食品の規格認証の活用に向けた協力）,ＯＮＥ－ＶＡＬＵＥ株式会社,1010401140970
2023年度,2023-10-27,5500000,0000000000000408725,令和５年度製造基盤技術実態等調査（伝統的工芸品産業の支援に係る実態調査等事業）,株式会社文化科学研究所,8010401025918
2023年度,2023-05-09,5454546,0000000000000380614,令和５年度食産業の戦略的海外展開支援委託事業（ベトナムにおける農産物・食品の規格認証の活用に向けた協力）,ＯＮＥ－ＶＡＬＵＥ株式会社,1010401140970
2025年度,2025-12-04,5079546,0000000000000551515,令和７年度食産業の戦略的海外展開支援委託事業（海外展開に関するネットワーキング会合を通じた人材育成・発掘等）,Ｎｏｍｕｒａ　Ｒｅｓｅａｒｃｈ　Ｉｎｓｔｉｔｕｔｅ　Ｓｉｎｇａｐｏｒｅ　Ｐｔｅ．Ｌｔｄ．,
2026年度,2026-05-21,4980000,0000000000000593343,地方部誘客に向けた北海道におけるデマンドバスの観光利用促進に関する調査業務,日本データーサービス株式会社,9430001020986
2025年度,2025-09-02,4980000,0000000000000539613,令和７年度食産業の戦略的海外展開支援委託事業（インドへの食品関連企業を対象としたビジネスミッション派遣事務委託事業）,株式会社ＪＴＢ,8010701012863
2024年度,2024-09-06,4973540,0000000000000469457,令和６年度地域経済産業活性化対策調査（インバウンドマーケティングを通したアウトバウンド展開への可能性調査）,株式会社サーベイリサーチセンター,6011501006529
2024年度,2024-07-09,4900000,0000000000000460612,令和６年度沖縄地域における地域ブランド海外展開支援事業,株式会社アール・ピー・アイ,1010001000220
2025年度,2025-06-24,4800000,0000000000000528891,令和７年度食産業の戦略的海外展開支援委託事業（グローバル・フードバリューチェーン推進官民協議会の地方セミナー企画・運営等に係る業務）,ＰｗＣコンサルティング合同会社,1010401023102
2025年度,2025-09-03,4726322,0000000000000539665,令和７年度食産業の戦略的海外展開支援委託事業（インドネシアへの食品関連企業を対象としたビジネスミッション派遣事務委託事業）,アイ・シー・ネット株式会社,6030001000271
2024年度,2024-11-18,4540000,0000000000000480640,令和６年度　訪日外国人旅行者の受入環境改善に向けた企画乗車券の運用検討業務,株式会社オリエンタルコンサルタンツ,4011001005165
2023年度,2024-03-04,4416000,0000000000000435148,令和５年度補正我が国の文化芸術コンテンツ・スポーツ産業の海外展開促進事業（デザインを活用した輸出力強化に関する普及啓発事業）,株式会社ブートレグ,3011001048999
2025年度,2025-06-19,4089091,0000000000000529273,令和７年度食産業の戦略的海外展開支援委託事業（欧州諸国及びカナダとの二国間関係強化を通じた日本企業の海外展開支援）,株式会社オーエムシー,9011101039249
2025年度,2025-07-29,4000000,0000000000000535498,令和７年度中国地域中小企業の知財戦略に基づく海外展開支援事業,株式会社ＴＳＳプロダクション,8240001007112
2026年度,2026-07-06,3983365,0000000000000605413,令和８年度知財戦略に基づく海外展開初動対策支援事業,株式会社成研,2240001005336
2025年度,2026-02-13,3975870,0000000000000567254,令和７年度国指定等文化財（美術工芸品）写真撮影業務　一式,株式会社サンエムカラー,9130001010712
2026年度,2026-07-30,3900000,0000000000000607867,訪日外国人が加入する民間医療保険の責任の範囲限度等に関する調査・比較分析業務一式,有限責任監査法人トーマツ,5010405001703
2024年度,2024-05-07,3854000,0000000000000451076,国際装備展示会における防衛装備庁ブース出展に関するアドバイザリー業務委託,株式会社シネマレイ,6180001059376
2023年度,2024-02-14,3845700,0000000000000425035,令和５年度新指定文化財（美術工芸品）撮影業務,株式会社フィールドプロ,5012701000644
2024年度,2024-07-22,3790000,0000000000000461690,電子基準点網の海外展開に関する調査・検討業務,株式会社パスコ,5013201004656
2023年度,2024-01-09,3767872,0000000000000418961,令和５年度沖縄振興推進調査（県産品の価値を最大化する物流及び商流の実態調査（在り方検討））,一般財団法人南西地域産業活性化センター,7360005004078
2026年度,2026-06-19,3636364,0000000000000602662,令和８年度沖縄地域における伝統的工芸品の付加価値創出支援事業～デジタル化・知的財産活用による新用途展開モデルの構築～,大高商事株式会社,7120001041999
2023年度,2023-07-27,3636000,0000000000000395981,令和５年度九州・沖縄地域における地域ブランド海外展開支援事業,株式会社アール・ピー・アイ,1010001000220
2024年度,2025-01-24,3600000,0000000000000486047,令和６年度食産業の戦略的海外展開支援委託事業（韓国向け日本産食品の輸出拡大を目的とした各種調査）,ＰｗＣコンサルティング合同会社,1010401023102
2026年度,2026-06-19,3500000,0000000000000603528,令和8年度屋久島国立公園山岳部におけるインバウンド利用の対応強化検討業務,株式会社一成,8140001042490
2025年度,2025-09-16,3500000,0000000000000543018,令和７年度屋久島国立公園山岳部インバウンド利用の対応強化検討業務,株式会社一成,8140001042490
2024年度,2024-11-01,3500000,0000000000000477637,令和６年度屋久島国立公園山岳部におけるインバウンド利用の対応強化検討業務,株式会社プレック研究所,5010001081785
2024年度,2024-07-22,3351420,0000000000000463149,【近畿経済産業局】令和６年度タイ有力旅行会社と連携したインバウンド関西広域周遊促進事業及び関西領事館フォーラム「関西ツアー」の開催事業,東武トップツアーズ株式会社,4013201004021
2025年度,2025-08-21,3200000,0000000000000539073,宮崎県総合博物館内における展示会開催に係る運営業務委託,株式会社ＭＲＴアド,3350001005472
2024年度,2024-10-07,2900000,0000000000000472848,【中国局】令和６年度原子力発電施設等立地地域基盤整備支援事業（松江市への訪日外国人誘客促進事業）,株式会社Ｎａｃｃｙ,3280001009010
2024年度,2024-07-24,2880000,0000000000000462901,【中国局】令和６年度中国地域中小企業の知財戦略に基づく海外展開支援事業,株式会社シーズ総合政策研究所,7280001000964
2024年度,2025-02-25,2836000,0000000000000495427,令和７年度訪日旅行促進事業に関する外国語翻訳業務（単価契約）,エヌ・ティー・シー株式会社,2180001001713
2024年度,2025-03-28,2800000,0000000000000515032,大阪・関西万博に向けたインバウンド向け機運醸成に係るサイネージ掲出業務（成田国際空港）,株式会社グリーンポート・エージェンシー,9040001042822
2023年度,2023-08-30,2700000,0000000000000400332,令和５年度製造基盤技術実態等調査（水ビジネスの海外展開と動向把握の方策に関する調査）,株式会社オリエンタルコンサルタンツグローバル,2011001100372
2024年度,2024-06-27,2623019,0000000000000458434,【九州局】令和６年度中小企業等の海外展開における知的財産戦略支援事業に係る役務請負,株式会社フラウ,1290001018771
2023年度,2023-07-12,2600000,0000000000000393610,令和５年度原子力発電施設等立地地域基盤整備支援事業（原子力発電施設等立地地域経済支援）（特産品や観光資源を活用した地域ブランド力の強化）,株式会社ジエック経営コンサルタント,2230001001138
2023年度,2023-07-24,2458000,0000000000000395270,【九州局】令和5年度中小企業等の海外展開における知財戦略策定支援事業（海外展開支援説明会及びワークショップ）に係る役務請負,一般社団法人発明推進協会,4010405010498
2026年度,2026-06-17,2439254,0000000000000605291,令和８年度こども霞が関見学デーにおけるこども家庭庁の出展プログラム企画制作・運営等業務,株式会社ステージ,3013301015869
2025年度,2026-03-19,2407000,0000000000000580729,令和8年度訪日旅行促進事業に関する外国語翻訳業務（単価契約）,エヌ・ティー・シー株式会社,2180001001713
2025年度,2025-08-26,2362293,0000000000000538119,【九州局】令和７年度中小企業等の海外展開における知的財産戦略支援事業に係る役務請負,株式会社田中制作所,4300001013611
2023年度,2024-02-27,2304000,0000000000000425455,令和６年度訪日旅行促進事業に関する外国語翻訳業務（単価契約）,エヌ・ティー・シー株式会社,2180001001713
2024年度,2025-01-27,2300000,0000000000000491077,医療機関における訪日外国人診療に係る医療原価に関する調査及び日本人診療との比較分析等業務一式,アビームコンサルティング株式会社,8010001085296
2025年度,2025-11-18,2280000,0000000000000551241,令和７年度日光国立公園満喫プロジェクト那須平成の森における誘客促進業務,Ａｃｔｉｖｉｔｙ　Ｒｅｓｅａｒｃｈ,
2026年度,2026-06-30,1940000,0000000000000604772,令和7年度（繰越）瀬戸内海国立公園インバウンド向けプロモーション計画素案作成業務,株式会社シマトワークス,4021001042835
2024年度,2024-07-02,1890000,0000000000000459712,【九州局】令和６年度九州地域航空機産業の海外展開における知的財産マネジメント支援事業に係る役務請負,株式会社マルクス・インターナショナル,9310001003805
2024年度,2024-09-27,1830000,0000000000000470991,防衛省情報本部職員募集に関する求人広告作成・掲載及び合同企業説明会の出展役務,株式会社マイナビ,3010001029968
2024年度,2024-05-31,1808270,0000000000000455368,令和６年度市民社会対日理解促進事業「日本語教師訪日研修」,ヒューマンアカデミー株式会社,4011101055952
2024年度,2025-03-21,1400000,0000000000000515546,大阪・関西万博に向けたインバウンド向け機運醸成に係る広告施工業務（中部国際空港）,富士フイルムイメージングシステムズ株式会社,3010701015680
2024年度,2024-10-08,1301387,0000000000000474124,外交史料館と小村寿太郎記念館の連携展示会開催に関する展示史料の輸送業務,カトーレック株式会社,3010601029525
2024年度,2024-12-19,1170000,0000000000000484035,令和６年度磐梯朝日国立公園磐梯吾妻・猪苗代地域インバウンド受入環境調査検討業務,株式会社オールアバウト,7011001034665
2023年度,2023-10-20,1105000,0000000000000408379,令和5年度「東北の伝統的工芸品」に関するホームページの作成,株式会社ホクトコーポレーション,1370001010299
2024年度,2024-08-28,960000,0000000000000467697,令和６年度霧島錦江湾国立公園桜島インバウンド対応強化検討業務,株式会社サーベイリサーチセンター,6011501006529
2023年度,2023-05-11,649240,0000000000000385611,令和５年度「2025年  日本国際博覧会（大阪・関西万博）」での環境省出展コンテンツ検討等業務,ｐｅｅｍ株式会社,7010001245495
2025年度,2026-03-11,50000,0000000000000576146,牧場生産品等輸送業務,直販配送株式会社,1011001014169
